blazar name,line,Lion,Lline,cf line,cf mean,regime
J0059,MgII,4.1694786076002766e+43,5.311290806060237e+43,1.2738501155464914,0.49490120750918226,SS
J0059,Hg,2.9756175928602512e+44,4.3024116211919324e+43,0.1445888622084778,0.49490120750918226,SS
J0059,Hd,2.9060652122842223e+44,1.925693789779587e+43,0.06626464477257739,0.49490120750918226,SS
J0133,MgII,1.8015323766031956e+43,7.153947817560497e+43,3.971034831496798,1.9917835992950785,SS
J0133,Hd,1.4594325447130942e+45,1.8290144398339622e+43,0.012532367093359037,1.9917835992950785,SS
J0508,CIII,8.808754677407728e+44,7.035330256956013e+43,0.07986747860057779,0.30164876889641107,SS
J0508,CIV,7.974460582617524e+44,4.17407237478571e+44,0.5234300591922444,0.30164876889641107,SS
J0021,Hb,1.5404200503615914e+44,6.569276815503828e+42,0.04264600953461873,0.021163721649873,ADAF
J0021,Hg,1.5404200503615914e+44,1.867611550409905e+42,0.012124040776874529,0.021163721649873,ADAF
J0021,Hd,1.5404200503615914e+44,1.3434179850070856e+42,0.008721114638125735,0.021163721649873,ADAF
J0050,Ha,1.7026571263779098e+42,3.335315744368912e+41,0.19588886644865391,0.06885247715512463,ADAF
J0050,Hb,1.6592090035737665e+42,6.68653374127479e+40,0.040299526623063645,0.06885247715512463,ADAF
J0050,Hg,1.6592090035737665e+42,5.50297566051503e+40,0.033166259637346374,0.06885247715512463,ADAF
J0050,Hd,1.6592090035737665e+42,1.0046935127195502e+40,0.006055255911434564,0.06885247715512463,ADAF
J0133,MgII,1.284333400091611e+44,7.153947817560497e+43,0.5570164115524995,0.3481118028811503,ADAF
J0133,Hd,1.3138792504340182e+44,1.8290144398339622e+43,0.13920719420980107,0.3481118028811503,ADAF
J0922,MgII,1.96476222978647e+45,1.989538691243825e+44,0.10126104121311655,0.0328748426570139,ADAF
J0922,Hb,2.0059232829628267e+45,2.142661554907864e+43,0.010681672490201468,0.0328748426570139,ADAF
J0922,Hg,2.0059232829628267e+45,1.0915881799236295e+43,0.005441824167429331,0.0328748426570139,ADAF
J0922,Hd,2.0059232829628267e+45,2.831327166301103e+43,0.01411483275730826,0.0328748426570139,ADAF
J1123,Ha,1.018771080639952e+44,2.1700175246622245e+42,0.021300344757520056,0.021390511590968844,ADAF
J1123,Hb,1.0089903960528284e+44,4.217731334368374e+42,0.0418015012914706,0.021390511590968844,ADAF
J1123,Hg,1.0089903960528284e+44,1.6931544561910873e+42,0.016780679606215376,0.021390511590968844,ADAF
J1123,Hd,1.0089903960528284e+44,5.730581849230514e+41,0.005679520708669336,0.021390511590968844,ADAF
J1329,MgII,1.542923026803325e+45,5.462299287710411e+43,0.03540227991170349,0.023170448848693407,ADAF
J1329,Hg,1.5766423025797757e+45,1.2178748797076247e+43,0.007724484353330372,0.023170448848693407,ADAF
J1329,Hd,1.5766423025797757e+45,4.1599048560194483e+43,0.02638458228104636,0.023170448848693407,ADAF
J152422,CIII,4.224650507912381e+42,6.96289785166004e+40,0.01648159495943907,0.031497835017170205,ADAF
J152422,MgII,4.3396129704056555e+42,1.579660854576617e+41,0.03640096168366264,0.031497835017170205,ADAF
J152422,Hd,5.3122155667278507e+42,2.210463278814592e+41,0.04161094840840889,0.031497835017170205,ADAF
J170108,CIII,1.6867762833332637e+43,4.8631438774817624e+41,0.028830995109035036,0.015769392606365364,ADAF
J170108,CIV,1.62808113857531e+43,9.87850324864653e+40,0.006067574283976376,0.015769392606365364,ADAF
J170108,MgII,1.7049978499474215e+43,2.115835568516378e+41,0.012409608426084677,0.015769392606365364,ADAF
J1745,Ha,7.956349505050346e+43,3.631777477505387e+42,0.045646278801604837,0.02981237490078696,ADAF
J1745,Hb,7.891190967982501e+43,1.1030678410116139e+42,0.013978470999969088,0.02981237490078696,ADAF
J1816,CIII,1.693700945715688e+45,1.2949039959598414e+44,0.07645411069972972,0.041177924527853765,ADAF
J1816,CIV,1.6703502033017508e+45,7.407652707318976e+43,0.04434790197095438,0.041177924527853765,ADAF
J1816,MgII,1.7003945102747873e+45,4.6450712596396167e+42,0.0027317609128771907,0.041177924527853765,ADAF
J2237,Hb,4.3490822617041056e+43,7.273887909089121e+42,0.1672510996892247,0.07552930281753532,ADAF
J2237,Hg,4.3490822617041056e+43,2.4672047743867097e+42,0.05672931956499674,0.07552930281753532,ADAF
J2237,Hd,4.3490822617041056e+43,1.134018502027923e+41,0.002607489198384533,0.07552930281753532,ADAF
